I_1894364,C,10,1001,Ciencias Naturales,1,"Ciencia, tecnología y sociedad","Explicación de fenómenos-Ciencia, tecnología y sociedad","Analiza el potencial del uso de recursos naturales o artefactos y sus efectos sobre el entorno y la salud, así como las posibilidades de desarrollo para las comunidades.",Explica cómo la explotación de un recurso o el uso de una tecnología tiene efectos positivos y/o negativos en las personas y en el entorno.,Dificultad Moderada,"57,69%","0,00%","15,38%","15,38%","57,69%","11,54%"
I_1894375,C,10,1001,Ciencias Naturales,1,"Ciencia, tecnología y sociedad","Uso comprensivo del conocimiento científico-Ciencia, tecnología y sociedad",Identifica las características de algunos fenómenos de la naturaleza basado en el análisis de información y conceptos propios del conocimiento científico.,Reconoce posibles cambios en el entorno por la explotación de un recurso o el uso de una tecnología.,Fácil,"76,92%","0,00%","7,69%","11,54%","76,92%","3,85%"
I_1894382,D,10,1001,Ciencias Naturales,1,"Ciencia, tecnología y sociedad","Uso comprensivo del conocimiento científico-Ciencia, tecnología y sociedad",Identifica las características de algunos fenómenos de la naturaleza basado en el análisis de información y conceptos propios del conocimiento científico.,Reconoce posibles cambios en el entorno por la explotación de un recurso o el uso de una tecnología.,Muy Difícil,"23,08%","0,00%","38,46%","23,08%","15,38%","23,08%"
I_1410624,B,10,1001,Ciencias Naturales,1,Procesos físicos,Explicación de fenómenos-Procesos físicos,"Explica cómo ocurren algunos fenómenos de la naturaleza basado en observaciones, en patrones y en conceptos propios del conocimiento científico.","Elabora explicaciones al relacionar las variables de estado que describen un sistema, argumentando a partir de los modelos básicos de cinemática y dinámica Newtoniana.",Muy Difícil,"11,54%","0,00%","50,00%","11,54%","15,38%","23,08%"
I_1570790,D,10,1001,Ciencias Naturales,1,Procesos físicos,Indagación-Procesos físicos,Observa y relaciona patrones en los datos para evaluar las predicciones.,"Interpreta y analiza datos representados en texto, gráficas, dibujos, diagramas o tablas.",Dificultad Moderada,"65,38%","0,00%","11,54%","11,54%","11,54%","65,38%"
I_1503421,D,10,1001,Ciencias Naturales,1,Procesos físicos,Indagación-Procesos físicos,Comprende que a partir de la investigación científica se construyen explicaciones sobre el mundo natural.,Analiza qué tipo de pregunta puede ser contestada a partir del contexto de una investigación científica.,Difícil,"38,46%","0,00%","23,08%","15,38%","23,08%","38,46%"
I_1449739,D,10,1001,Ciencias Naturales,1,Procesos físicos,Indagación-Procesos físicos,Utiliza algunas habilidades de pensamiento y de procedimiento para evaluar predicciones.,Da posibles explicaciones de eventos o fenómenos consistentes con conceptos de la ciencia (predicción o hipótesis).,Difícil,"46,15%","0,00%","23,08%","11,54%","19,23%","46,15%"
I_1570704,A,10,1001,Ciencias Naturales,1,Procesos físicos,Indagación-Procesos físicos,Deriva conclusiones para algunos fenómenos de la naturaleza basándose en conocimientos científicos y en la evidencia de su propia investigación y de la de otros.,Elabora conclusiones a partir de información o evidencias que las respalden.,Difícil,"53,85%","0,00%","53,85%","23,08%","23,08%","0,00%"
I_1899443,D,10,1001,Ciencias Naturales,1,Procesos físicos,Uso comprensivo del conocimiento científico-Procesos físicos,Asocia fenómenos naturales con conceptos propios del conocimiento científico.,"Relaciona los distintos factores que determinan la dinámica de un sistema o fenómeno (condiciones iniciales, parámetros y constantes) para identificar (no en un modelo) su comportamiento, teniendo en cuenta las leyes de la física.",Muy Difícil,"15,38%","3,85%","3,85%","46,15%","30,77%","15,38%"
I_1402873,D,10,1001,Ciencias Naturales,1,Procesos químicos,Explicación de fenómenos-Procesos químicos,"Modela fenómenos de la naturaleza basado en el análisis de variables, la relación entre dos o más conceptos del conocimiento científico y de la evidencia derivada de investigaciones científicas.",Identifica y usa modelos químicos para comprender fenómenos particulares de la naturaleza.,Muy Difícil,"23,08%","0,00%","26,92%","11,54%","38,46%","23,08%"
I_1571721,C,10,1001,Ciencias Naturales,1,Procesos químicos,Indagación-Procesos químicos,Utiliza algunas habilidades de pensamiento y de procedimiento para evaluar predicciones.,Diseña experimentos para dar respuesta a sus preguntas.,Difícil,"53,85%","0,00%","11,54%","19,23%","53,85%","15,38%"
I_1571813,D,10,1001,Ciencias Naturales,1,Procesos químicos,Indagación-Procesos químicos,Utiliza algunas habilidades de pensamiento y de procedimiento para evaluar predicciones.,Usa información adicional para evaluar una predicción.,Muy Difícil,"26,92%","0,00%","19,23%","34,62%","19,23%","26,92%"
I_1501412,D,10,1001,Ciencias Naturales,1,Procesos químicos,Uso comprensivo del conocimiento científico-Procesos químicos,Asocia fenómenos naturales con conceptos propios del conocimiento científico.,Diferencia distintos tipos de reacciones químicas y realiza de manera adecuada cálculos teniendo en cuenta la ley de conservación de la masa y carga.,Muy Difícil,"23,08%","0,00%","15,38%","30,77%","30,77%","23,08%"
